,gene,tau,max_group
331,Grin2c,0.941116,Astro-TE NN
332,Foxj1,0.96335125,Ependymal NN
333,Lgals3bp,0.9159948,CHOR NN
334,Nptx1,0.68090004,CBX Purkinje Gaba
335,Adam17,0.6398709,Microglia NN
336,Slc26a3,0.9873361,Ependymal NN
337,Nampt,0.5196061,POR Spp1 Gly-Gaba
338,Etv1,0.8166561,SCig Tfap2b Chrnb3 Glut
339,Arhgap5,0.34813547,CBX Purkinje Gaba
340,Hif1a,0.31245273,MM Foxb1 Glut
341,Cox16,0.105859615,PDTg Otp Olig3 Gaba
342,Fos,0.8012272,Hypendymal NN
343,Tmem63c,0.38177514,NP PPP Glut
344,Ngb,0.7612244,PVa-AHN-LHA Otp Glut
345,Ahsa1,0.41398513,POR Spp1 Gly-Gaba
346,Prima1,0.9565689,OEG NN
347,Serpina3g,0.97267187,IPN Otp Crisp1 Gaba
348,Pld4,0.99006635,DC NN
349,Pacs2,0.5538073,Oligo NN
350,Vipr2,0.9536867,SCH Gaba
351,Gli3,0.94987583,Astro-TE NN
352,Mboat1,0.94582784,TRS Sln Glut
353,Nrn1,0.63248277,L4/5 IT CTX Glut
354,Ly86,0.9869727,Microglia NN
355,Edn1,0.98453873,SPVO Mafa Meis2 Glut
356,Cd83,0.7083316,DC NN
357,Slc9a3,0.9699563,CBX Purkinje Gaba
358,Dhfr,0.65982884,PB-CUN Ppp1r1c Glut
359,Crhbp,0.95168334,MV Nkx6-1 Gly-Gaba
360,Sv2c,0.7415961,IPN Otp Crisp1 Gaba
361,Gfm2,0.27628586,POR Spp1 Gly-Gaba
362,Hexb,0.836459,Microglia NN
363,Zfp366,0.99352103,Endo NN
364,Cd180,0.98627824,Microglia NN
365,Ankrd55,0.41640988,MARN-PPY Ngfr Gly-Gaba
366,Hcn1,0.45017508,SPVO Mafa Meis2 Glut
367,Prkcd,0.9306277,TH Prkcd Grin2c Glut
368,Stab1,0.99189913,BAM NN
369,Gdf10,0.9745117,Bergmann NN
370,Glud1,0.36093548,Astro-OLF NN
371,Grid1,0.29641074,SPVC Nmu Glut
372,Nrg3,0.1704527,NP PPP Glut
373,Lgals3,0.98789793,DC NN
374,Sgcg,0.98866624,CBX Golgi Gly-Gaba
375,Ints6,0.26326326,HY Gnrh1 Glut
376,Clu,0.65094453,MY Calcb Chol
377,Rb1,0.37066492,LDT Fgf7 Gaba
378,Pcdh9,0.24023679,LDT Fgf7 Gaba
379,Klhl1,0.638707,MOB Trdn Gaba
380,Osmr,0.9861337,Endo NN
381,Gdnf,0.97475004,HY Gnrh1 Glut
382,Cdh9,0.70064545,DG Glut
383,Cdh10,0.3562609,NLOT Rho Glut
384,Cpq,0.82657295,Astro-CB NN
385,Trps1,0.53446287,Pvalb chandelier Gaba
386,Has2,0.97966975,OPC NN
387,Adcy8,0.48982158,MOB Dopa-Gaba
388,Sla,0.9623784,DC NN
389,Ly6a,0.9957326,Endo NN
390,Pvalb,0.9028708,CBX MLI Cdh22 Gaba
391,Ttll8,0.9853122,Ependymal NN
392,Plxnb2,0.7445408,CHOR NN
393,Scn8a,0.28343627,MY Calcb Chol
394,Gpr84,0.97754043,Microglia NN
395,Itga5,0.8255239,Hypendymal NN
396,Grin2a,0.4408527,CA1-ProS Glut
397,Klhl6,0.9878994,Lymphoid NN
398,Sst,0.8993243,Sst Chodl Gaba
399,Apod,0.9723173,VLMC NN
400,Tfrc,0.54558504,MH Tac2 Glut
401,Itgb5,0.9573936,Microglia NN
402,Cd80,0.9555872,DC NN
403,Retnla,0.9992805,DC NN
404,Cd47,0.18057099,CM-IAD-CL-PCN Glut
405,Epha6,0.39043677,CA1-ProS Glut
406,Epha3,0.67112637,TRS Sln Glut
407,Olig2,0.98633546,OPC NN
408,Atp5o,0.33144155,POR Spp1 Gly-Gaba
409,Baiap3,0.5443085,DMH-LHA Vgll2 Glut
410,Dusp1,0.8050808,Monocytes NN
411,Itpr3,0.9708011,OEG NN
412,Grm4,0.7188868,CB Granule Glut
413,Fkbp5,0.7031163,ABC NN
414,Cdkn1a,0.84655565,Endo NN
415,Myo1f,0.97258914,Monocytes NN
416,H2-K1,0.9622108,Lymphoid NN
417,H2-DMb1,0.9931423,DC NN
418,Psmb8,0.98486465,DC NN
419,C4b,0.9851518,Astroependymal NN
420,Aif1,0.9846942,Microglia NN
421,Tnf,0.9936333,Microglia NN
422,H2-D1,0.83235645,Monocytes NN
423,Mog,0.95882344,Oligo NN
424,H2-M3,0.90574783,DC NN
425,Clic5,0.9772406,Endo NN
426,Trem2,0.9941315,Microglia NN
427,C3,0.98278105,Monocytes NN
428,Lama1,0.94689405,VLMC NN
429,Nrxn1,0.1557502,Astro-TE NN
430,Npc1,0.59711033,Oligo NN
431,Aqp4,0.9722323,Astro-CB NN
432,Chst9,0.91221446,STR-PAL Chst9 Gaba
433,Cdh2,0.21323243,L6b/CT ENT Glut
434,Gpr17,0.9925329,OPC NN
435,Bin1,0.40304095,Oligo NN
436,Hspa9,0.25519556,VCO-SOCl Mafa Meis2 Glut
437,Pcdha8,0.75819325,CBX Purkinje Gaba
438,Pcdhb2,0.8458913,SPVO Mafa Meis2 Glut
439,Pcdhb6,0.6659335,NTS Crp Glut
440,Pcdhb8,0.8121874,POR Spp1 Gly-Gaba
441,Pcdhb9,0.86040485,CBX Purkinje Gaba
442,Pcdhb14,0.64148027,CBX Purkinje Gaba
443,Kctd16,0.4724759,Lamp5 Gaba
